#	year	left	match	right	title	topic
400	1998	Most of the deaths have occurred in the last 17 years , perhaps proving that all the advances in equipment and route finding have done little to make climbing Everest a risk-free or even a	low-risk	endeavor .	As Climbers Die, The Allure of Everest Keeps on Growing	Mountain Climbing, Accidents and Safety
401	1998	Most of the deaths have occurred in the last 17 years , perhaps proving that all the advances in equipment and route finding have done little to make climbing Everest a risk-free or even a	low-risk	endeavor .	As Climbers Die, The Allure of Everest Keeps on Growing	Mountain Climbing, Accidents and Safety
402	1998	Signing Fonville '' was a	low-risk	proposition for us , '' the general manager said .	Mets Search for Ideal One-Two Punch in Order	Baseball
403	1998	A case in point arose in New York when 4-year-old Harry Donnelly of Somers died after routine	low-risk	out-patient surgery to remove his adenoids and insert tiny tubes in his eardrums to drain fluid at Hudson Valley Hospital Center in Peekskill in February 1997 .	Boy's Death in Surgery Is Lesson on Nonprescription Drugs	Surgery and Surgeons, Children and Youth, Anesthesia and Anesthetics, Phenylephrine (Drug), Drugs (Pharmaceuticals)
404	1998	Home-birthing women and midwives see childbirth not as a medical procedure but a very natural event that is best allowed to evolve at its own pace , in the case of	low-risk	pregnancies .	Profile of a Midwife Omitted Joys of Home Birth	Pregnancy and Obstetrics, Midwives
405	1998	For women with	low-risk	pregnancies , like myself , home birth represents an opportunity to give birth with power , awareness , sensuality , intimacy and integrity .	Profile of a Midwife Omitted Joys of Home Birth	Pregnancy and Obstetrics, Midwives
406	1998	Mercer advises clients , however , to hold a fairly high level of cash or liquid ,	low-risk	investments to provide for emergencies and other needs because the annuity money will probably remain untouchable for about 20 years .	Mutual Funds Report; What's This Seasoned Investor Doing With a Variable Annuity?	Stocks and Bonds, Pensions and Retirement Plans, Annuities
407	1998	M.L.P. will continue to expand into profitable products , and they 'll be able to sell these products because they already have a very high-quality ,	low-risk	, wealthy client base , '' Mr. Strabo said .	Building Momentum With Foreign Stocks	Stocks and Bonds, Mutual Funds, Foreign Investments
408	1998	Those	low-risk	measurements are no accident .	INVESTING WITH: James P. Barrow; Vanguard Windsor II Fund	Stocks and Bonds, Biographical Information, Mutual Funds
409	1998	Jeremy Siegel , a professor of finance at the Wharton School , argues that stocks are n't as risky in the long run as everybody always thought they were , compared to	low-risk	investments like bonds .	Ideas  Trends: Chaos Theory; Unlearning the Lessons of Econ 101	United States Economy, Prices (Fares, Fees and Rates)
410	1998	Insurance companies can not fully distinguish between high-risk and	low-risk	customers -- between the homeowner whose dwelling is likely to burn down and the one less likely to have a damaging fire .	The Economics Of Intervention; A Prominent but Impolitic Theorist Questions the Worship of Free Markets	Business and Finance, Economic Conditions and Trends, Biographical Information, Joseph E. Stiglitz
411	1998	Charging the same high rate to both for the same substantial coverage tends to draw mostly the high-risk customers , while the	low-risk	households are more likely to go without insurance .	The Economics Of Intervention; A Prominent but Impolitic Theorist Questions the Worship of Free Markets	Business and Finance, Economic Conditions and Trends, Biographical Information, Joseph E. Stiglitz
412	1998	In addition , premiums are very high for the most complete coverage ;	low-risk	customers , by raising their deductibles , can pay much less .	The Economics Of Intervention; A Prominent but Impolitic Theorist Questions the Worship of Free Markets	Business and Finance, Economic Conditions and Trends, Biographical Information, Joseph E. Stiglitz
413	1998	This is a low-cost ,	low-risk	business for all sides .	Businesses Explore Cyberauctions	Auctions, Computers and Information Systems, Internet and World Wide Web, Computer Software
414	1998	Even among participants who died , the	low-risk	people had shorter periods of disability before dying .	Adding Years to Life and Life to Years	_
415	1998	In fact , even if your B.M.I. falls into the	low-risk	range of 21 to 25 , if you carry too much weight around the middle you 're at greater risk than someone whose weight sits on the hips or thighs .	New Guide Puts Most Americans on the Fat Side	Weight
416	1998	Companies see licensing as a	low-risk	way to build brand awareness , which can also bring in additional revenue .	Licensing of Names Adds to Image and Profit	Marketing and Merchandising, Generic and Brand Name Products, Logotypes
417	1998	Examples of	low-risk	offenders include those who have exposed themselves , sexually abused a younger sibling or their own child , fondled a child over his or her clothing or fondled an adult without use of force .	Schools Get Guidelines On Applying 'Megan's Law	Sex Crimes, Education and Schools
418	1998	These economists argue that the extra profit that workers earn on the dollars they deposit into their private accounts is exactly offset by the extra loss that they suffer on their deposits into the trust fund -- assuming , still , that the private accounts invest in the same	low-risk	securities held by the trust fund .	Uttering the P-Word With Social Security	Social Security (US), Privatization, Reform and Reorganization
419	1998	The bracelet could help relieve prison overcrowding by letting	low-risk	offenders out early , Mr. Heiser said . ''	Patents; An inventor says a bracelet with a computer chip embedded in it could help cut crime rates.	Inventions and Patents, Computer Chips, Crime and Criminals, Probation and Parole, Computers and Information Systems, Blindness, Eyes and Eyesight, Contact Lenses, Retinas
420	1998	It was a	low-risk	, high-reward pay contract , '' Mr. Crystal said . ''	Troubled Story at Golden Books; A Fairy-Tale Pay Package, but Publisher's Losses Grow	Business and Finance, Books and Magazines, Wages and Salaries, Company and Organization Profiles, Children and Youth, Book Trade, Richard E. Snyder
421	1998	The embassy in Tanzania was considered a	low-risk	, low-profile post , a place where American diplomats administered aid programs and tried to spread ideas about American democracy .	Investigators in Tanzania Study Videocamera and Water Truck Belonging to the Embassy	Terrorism, Bombs and Explosives, United States International Relations, Foreign Service, Tanzania-International Relations-US
422	1998	Diplomatic compounds in	low-risk	regions were neglected , despite the obvious threat that terrorists might be deflected to less secure embassies when prime targets in the Middle East and Europe were better protected .	Embassy Security Is Not Optional	Terrorism, Editorials, Bombs and Explosives, United States International Relations, Kenya-International Relations-US, Tanzania-International Relations-US, Security and Warning Systems
423	1998	The F.D.A. 's zeal in monitoring the industry has come in for criticism -- F.D.A. officials publicly state that they consider bottled water a ''	low-risk	'' industry , especially compared with foods like meat and poultry -- and people in the tap-water camp do not miss a chance to talk about possible risks . ''	Carried Away	Water, Bottled Water, Accidents and Safety, Consumer Protection, Ozone, Ultraviolet Light, Metals and Minerals
424	1998	INVESTING IT / Page 5 / A small drug company in a	low-risk	niche must race the calendar to remake itself as a full-fledged drug maker .	INSIDE	NO INDEX TERMS FROM NYTIMES
425	1998	Though Sepracor has not yet made money , some analysts expect its	low-risk	strategy to create a trickle of profits in 2000 and a gusher by 2001 .	A Small Drug Maker In a Low-Risk Niche	Drugs (Pharmaceuticals), Company and Organization Profiles
426	1998	On third-and-3 , Foley wanted to sneak a back out of the backfield for a cutesy	low-risk	pass .	Sports of The Times; Woodson Deflates Jets And Revives a Career	Football
427	1998	The Orioles took a	low-risk	gamble by drafting Minor in the 33d round in 1996 .	C.B.A. To Spot In History	Baseball, Records and Achievements
428	1998	But even as some giant hedge funds have been tanking , banks , investment firms and private money managers have been aggressively marketing a relatively new type of product that they call a	low-risk	way to play the hedge fund game .	Spreading The Risks Of Hedging	Stocks and Bonds, Hedge Funds
429	1998	Investors do not seem to care : Many are withdrawing money from all emerging markets in a flight to	low-risk	investments .	FINANCE MINISTERS AGREE TO EXPLORE CLINTON I.M.F. PLAN	Economic Conditions and Trends, United States International Relations, Third World and Developing Countries, Credit, Recession and Depression
430	1998	Mr. Berghuis relies heavily on what he calls '' plodders , '' companies whose earnings '' fairly reliably grow 12 to 15 percent a year in a fairly	low-risk	way . ''	T. Rowe Price Mid-Cap Growth Fund	Stocks and Bonds, Mutual Funds, Biographical Information
431	1998	The fund 's core investment specialty -- a technique called convergence trading , used primarily by large banks and brokerage firms -- was also a supposedly	low-risk	strategy .	Lessons of a Long, Hot Summer	Stocks and Bonds, Credit, Derivatives (Financial Transactions), Interest Rates, Brokers and Brokerage Firms
432	1998	Gartner projects that 15 percent of businesses and government agencies in	low-risk	countries will suffer at least one computer failure that significantly disrupts operations .	At the U.N., Nations Are Urged to Prepare for 'Millennium Bug	Computers and Information Systems, Two Thousand (Year), Forecasts
433	1998	For the smugglers , it was a lucrative ,	low-risk	endeavor that could take as little as a few days , from Point A , in Fujian province in China , to Point Z , in Chinatown .	China to Chinatown, via Canada; Smuggling Arrests Expose Immigrant Pipeline on Indian Land	Immigration and Refugees, Illegal Aliens, Smuggling, Indians, American
434	1999	He pointed out , for example , that in	low-risk	patients , '' there is great variability in the Caesarean rate -- from a low of 5 percent to a high of 40 percent -- from doctor to doctor , hospital to hospital and region to region . '' ''	4 Childbirth Specialists Challenge U.S. Goal of Reducing Caesarean Births	Pregnancy and Obstetrics, Caesarean Section, Research
435	1999	This tells me , '' he said , '' there is probably an opportunity to lower the rate of Caesareans , at least among ordinary	low-risk	patients .	4 Childbirth Specialists Challenge U.S. Goal of Reducing Caesarean Births	Pregnancy and Obstetrics, Caesarean Section, Research
436	1999	The goal of the automatic lane is to allow inspectors to dispatch	low-risk	travelers quickly and spend more time with the others .	A Silicon Wall Rises on the Border	Immigration and Refugees, Computers and Information Systems, Illegal Aliens, United States International Relations, Search and Seizure, Drug Abuse and Traffic, Smuggling, X-Rays
437	1999	The program is open to frequent business travelers , who are considered a	low-risk	group , from the United States and 28 other designated low-risk countries . ''	Identity Checks; High-Tech Help for Frequent Travelers Entering U.S.	Airlines and Airplanes, Computers and Information Systems, Identification Devices, Immigration and Refugees, Bureaucratic Red Tape, Airports
438	1999	The program is open to frequent business travelers , who are considered a low-risk group , from the United States and 28 other designated	low-risk	countries . ''	Identity Checks; High-Tech Help for Frequent Travelers Entering U.S.	Airlines and Airplanes, Computers and Information Systems, Identification Devices, Immigration and Refugees, Bureaucratic Red Tape, Airports
